rc_number,company_name,registration_date,first_invoice_date,days_to_first_invoice,bank_account,address,invoice_amount,director_bvn,is_fraud
RC146450,Akinwale Inc,2021-12-05,2023-12-06,731,TXRQ47941259314641,"0984 Ruth Wells Suite 223
Gabrielburgh, MS 87018",2578837.56,56765972121,0
RC266700,Balogun Inc,2021-02-01,2021-07-06,155,QRPB60899270249270,"700 Adetokunbo Heights Suite 061
Oshodibury, KS 83997",3147915.55,58280603191,0
RC255951,"Oshodi, Akinwale and Oshodi",2025-04-17,2025-06-30,74,XRMP35948320552637,"943 Akinwale Wells
Estherfort, PW 92014",854145.04,91879018569,0
RC324864,Balogun Inc,2018-02-01,2019-05-14,467,ZTLO42738524740981,"6049 Victoria Groves
Ekwuemeburgh, MT 84416",3858548.58,77623522186,0
RC754963,"Adeyemi, Eze and Akinwale",2023-03-26,2024-09-06,530,UVHJ21136149424517,"8557 Samuel Road
Abiolamouth, RI 16779",1286583.54,08245594742,0
RC561610,Ibrahim PLC,2024-09-19,2024-12-04,76,VLSD38567380268739,"173 Joy Oval Suite 956
North Angela, RI 74808",2661506.8,78352432571,0
RC698333,"Oyekan, Olawale and Oshodi",2020-05-28,2024-09-25,1581,FBLI37319814614269,"429 Okafor Trafficway Suite 731
West Gabriel, OH 67329",179142.25,01308719480,0
RC861045,Abiola-Adeyemi,2019-06-07,2025-05-09,2163,FAVM43071226342558,"1930 Eze Drives Suite 360
Ogunleyeville, HI 53105",4089092.69,12625619984,0
RC281037,"Adetokunbo, Balogun and Obi",2020-05-12,2022-07-27,806,HRRV11384815150162,"6957 Eze Dam Apt. 684
Andrewbury, SC 56302",171702.8,86357092107,0
RC965326,Adetokunbo-Nnamani,2021-09-04,2024-06-06,1006,WNYK58600592656336,"1065 Andrew Parkways
Paulberg, OR 68570",4628031.14,67944787227,0
RC715951,Adeyemi Ltd,2022-05-16,2025-01-08,968,OGGX73532059353488,"6266 Faith Circle
West Juliet, NE 88246",780279.03,23487133235,0
RC535133,Akinwale-Obi,2018-11-28,2025-05-09,2354,GJPM97609143313631,"78070 Ojo Forks Suite 734
New Samuel, OH 45136",4758866.23,89822038012,0
RC328362,Ogunleye Inc,2021-09-25,2025-08-06,1411,XYTI84005593148723,"16545 Okafor Ports
West Joshuabury, PA 68785",4477279.78,02050422420,0
RC270435,Chukwu-Okonkwo,2020-12-12,2023-06-09,909,YFZP47819224627460,"984 Chukwu View
Balogunport, NE 48752",4365982.24,00344911545,0
RC630530,Okonkwo-Adeyemi,2019-11-26,2023-06-08,1290,DGXG71194622385443,"803 Ibrahim Glen Apt. 652
Ezeside, OH 12439",441120.14,49700215634,0
RC100199,Okonkwo and Sons,2025-12-28,2026-04-11,104,HLKM70938042492728,"1384 Eze Street
South Hopeside, CT 59806",3483405.74,31193176609,0
RC854289,Oyekan-Okonkwo,2019-04-14,2024-05-18,1861,WKQP59995111158800,"6216 Abiola Fall
Blessingfurt, NM 09714",3670543.09,81525584690,0
RC124635,Obasanjo PLC,2017-12-18,2024-11-19,2528,OCSQ67540713545082,"PSC 9132, Box 0739
APO AE 46028",4154762.12,65583534881,0
RC848723,Akinwale Inc,2024-12-10,2025-07-17,219,PQVO22936143252635,"940 Victoria Estates
Lake Elizabethside, MP 01267",4383733.89,77438594003,0
RC230002,"Eze, Uche and Nnamani",2019-03-28,2022-05-06,1135,WCTU41978878800253,"00674 Samuel Points Suite 103
South Charity, NH 65439",4605705.39,35176565450,0
RC440118,Ibrahim Inc,2016-09-25,2024-05-12,2786,MRSH61441703945824,"531 Esther Mountain
Emmanuelfort, TN 57709",654917.26,21556842083,0
RC755009,Okafor Inc,2019-09-29,2022-02-21,876,RPBL23969962911386,"70463 James Mission
South Corneliushaven, RI 93850",2687973.18,18244280022,0
RC479432,Ibrahim-Obasanjo,2024-10-14,2024-11-30,47,ZBZG24825543369589,"780 Okafor Mission
West Sarah, IN 84541",3326337.56,22983436582,0
RC396163,"Oyekan, Obasanjo and Okonkwo",2017-02-04,2018-06-11,492,RMFC17482875186092,"PSC 2790, Box 5540
APO AA 99128",234136.34,65452520011,0
RC960439,Okonkwo-Chukwu,2020-10-27,2022-03-29,518,WQIM01914386087846,"Unit 4320 Box 7279
DPO AE 97501",798253.37,82464198752,0
